ALAPADMAM
ARALA
ARDHA CHANDRA
ARDHA PATHAKA
BRAMARAM
CHANDRA KALA
CHATHURAM
HAMSAPAKSHA
HAMSASYAM
KANGULAM
KAPITHA
KATAKAMUKHA_1
KATAKAMUKHA_2
KATAKAMUKHA_3
KATRIMUKHA 
MAYURA
MRIGASIRSHA
MUKULAM
MUSHTI
PADMAKOSHA
PATHAKA
SARPASIRSHA
SHUKATUNDAM 
SHIKHARA
SIMHAMUKHAM
SOOCHI
TAMARACHUDAM
TRI PATHAKA
TRISHULAM
